uid,name
532,radiotherapy
2,abnormalities
382,microbiology
193,education
8,administration & dosage
150,complications
209,etiology
201,enzymology
254,growth & development
628,therapy
139,chemically induced
458,organization & administration
494,pharmacology
31,analogs & derivatives
175,diagnosis
266,history
652,urine
592,standards
96,biosynthesis
166,cytology
187,drug effects
473,pathology
138,chemical synthesis
37,antagonists & inhibitors
453,epidemiology
819,agonists
145,classification
235,genetics
981,diagnostic imaging
534,rehabilitation
32,analysis
188,drug therapy
9,adverse effects
379,methods
639,trends
178,diet therapy
401,mortality
503,physiopathology
627,therapeutic use
493,pharmacokinetics
302,isolation & purification
517,prevention & control
648,ultrastructure
506,poisoning
821,virology
295,instrumentation
293,injuries
523,psychology
737,chemistry
196,embryology
208,ethnology
378,metabolism
706,statistics & numerical data
601,surgery
191,economics
502,physiology
472,pathogenicity
557,secretion
331,legislation & jurisprudence
276,immunology
97,blood
