pmid,abstract_text
1875346,"Modification of the hexahydronaphthalene ring 5-position in simvastatin 2a via oxygenation and oxa replacement afforded two series of derivatives which were evaluated in vitro for inhibition of 3-hydroxy-3-methylglutaryl-coenzyme A reductase and acutely in vivo for oral effectiveness as inhibitors of cholesterogenesis in the rat. Of the compounds selected for further biological evaluation, the 6 beta-methyl-5-oxa 10 and 5 alpha-hydroxy 16 derivatives of 3,4,4a,5-tetrahydro 2a, as well as, the 6 beta-epimer 14 of 16 proved orally active as hypocholesterolemic agents in cholestyramine-primed dogs. Subsequent acute oral metabolism studies in dogs demonstrated that compounds 14 and 16 evoke lower peak plasma drug activity and area-under-the-curve values than does compound 10 and led to the selection of 14 and 16 for toxicological evaluation."
3549656,"The resistance of 6-[(R)-2-[3-(3,4-dihydroxybenzoyl)-3-(3-hydroxypropyl)-1-ureido]-2- phenylacetamido]penicillanic acid (1a) to metabolism by catechol-O-methyl-transferase (COMT) was increased by introduction of the chlorine atom into the catechol moiety. Penicillins (1b-1d) having one or two chlorine atoms at the positions adjacent to the hydroxyl group were found to have greater stability to COMT. This resulted in greater efficiency in vivo in experimental Pseudomonas aeruginosa and Escherichia coli infections. In vitro activities were essentially unchanged."
8119288,"Bacillus subtilis ferrochelatase is encoded by the hemH gene of the hemEHY gene cluster and catalyses the incorporation of Fe2+ into protoporphyrin IX. B. subtilis ferrochelatase produced in Escherichia coli was purified. It was found to be a monomeric, water-soluble enzyme of molecular mass 35 kDa which in addition to Fe2+ can incorporate Zn2+ and Cu2+ into protoporphyrin IX. Chemical modification experiments indicated that the single cysteine residue in the ferrochelatase is required for enzyme activity although it is not a conserved residue compared to other ferrochelatases. In growing B. subtilis, the ferrochelatase constitutes approximately 0.05% (by mass) of the total cell protein, which corresponds to some 600 ferrochelatase molecules/cell. The turnover number of isolated ferrochelatase, 18-29 min-1, was found to be consistent with the rate of haem synthesis in exponentially growing cells (0.2 mol haem formed/min/mol enzyme). It is concluded that the B. subtilis ferrochelatase has enzymic properties which are similar to those of other characterised ferrochelatases of known primary structure, i.e. ferrochelatases of the mitochondrial inner membrane of yeast and mammalian cells. However, in contrast to these enzymes the B. subtilis enzyme is a water-soluble protein and should be more amenable to structural analysis."
8219565,"PURPOSE: The problem of asymmetric opening of the modified hook titanium Greenfield inferior vena cava filter necessitating transcatheter manipulation was evaluated in a retrospective study. PATIENTS AND METHODS: Titanium Greenfield filters were placed in 166 patients over a 36-month period. The radiographic reports of all patients were reviewed to identify cases in which the filter failed to open symmetrically after deployment and catheter or wire manipulation of the filter was performed. The reports and angiograms from these patients were reviewed with respect to the circumstances surrounding filter placement and methods to achieve more symmetric opening. RESULTS: Transcatheter manipulation of asymmetrically opened filters was performed in 15 of 166 cases (9%). In 12 of these patients, acceptable and uneventful opening of the filter was achieved with a guide wire, pigtail catheter, or occlusion balloon catheter. In one case manipulation only partly improved orientation of the limbs, while in another case successful manipulation was complicated by distal migration. In the final case, the asymmetric filter covered only part of the lumen of the vena cava despite manipulations and a second filter was placed for optimal caval interruption. No specific cause for incomplete expansion was identified in any case. CONCLUSION: Marked asymmetry in opening of the modified hook titanium Greenfield filter that warrants manipulation occurs infrequently, but recognition and proper management may be important to ensure optimal caval interruption."
8655018,"The findings of many authors show that reduced fetal growth is followed by increased mortality from cardiovascular disease in adult life. They are further evidence that cardiovascular disease originates, among other risk factors, through programming of the bodies structure and metabolism during fetal and early post-natal life. Wrong maternal nutrition may have an important influence on programming."
8863847,"The mitogenic effect of extracellular ATP was examined in cultured rat aortic smooth muscle cells (VSMCs). ATP, 2-methylthio-ATP, and ADP stimulated [3H]thymidine and [3H]leucine incorporation and cell growth. AMP, adenosine, UTP, and P2x agonists showed little of these effects. Reactive blue 2, a P2Y purinoceptor antagonist, was effective in suppressing the mitogenic effect of ATP and 2-methylthio-ATP, indicating that extracellular ATP-induced VSMC proliferation is mediated by P2Y purinoceptors. The P2Y purinoceptor activation was coupled to a pertussis toxin (PTX)-insensitive G protein (Gq) and triggered phosphoinositide hydrolysis with subsequent activation of protein kinase C (PKC), Raf-1, and mitogen-activated protein kinase (MAPK) in VSMCs. In response to ATP, both 42-and 44-kDa MAPKs were activated, and tyrosine was phosphorylated. Western blot analysis using PKC isozyme-specific antibodies indicated that VSMCs express PKC-alpha, PKC-delta, and PKC-zeta. A complete down-regulation of PKC-alpha and PKC-delta was seen after 24-hr treatment with 12-O-tetradecanoylphorbol-13-acetate. When cells were pretreated with 12-O-tetradecanoyl-phorbol-13-acetate for 24 hr and subsequently challenged with ATP, Raf-1 activation and 42-kDa as well as 44-kDa MAPK tyrosine phosphorylation failed to be induced. These results demonstrate that ATP-induced Raf-1 and MAPK activations involve the activation of PKC-alpha and PKC-delta. P2Y purinoceptor stimulation with ATP also caused accumulation of c-fos and c-myc mRNAs. Both Reactive blue 2 and staurosporine significantly blocked this increase by ATP. In conclusion, the mitogenic effect of ATP seemed to be triggered by activation of the Gq protein-coupled P2Y purinoceptor that led to the formation of inositol trisphosphate and activation of PKC. PKC and, in turn, Raf-1 and MAPK were then activated, leading eventually to DNA synthesis and cell proliferation."
9110943,"OBJECTIVE: This overview reports the efficacy of conservative treatments (drug therapy, manual therapy, patient education, physical medicine modalities) in reducing pain in adults with mechanical neck disorders. METHODS: Computerized bibliographic database searches from 1985 to December 1993, information requests from authors, and bibliography screenings were used to identify published and unpublished research. Applying strict criteria, two investigators independently reviewed the blinded articles. Each selected trial was evaluated independently for methodologic quality. RESULTS: Twenty-four randomized controlled trials (RCTs) and eight before-after studies met our selection criteria. Twenty RCTs rated moderately strong or better in terms of methodologic quality. Five trials using manual therapy in combination with other treatments were clinically similar, were statistically not heterogeneous (p = 0.98), and were combined to yield an effect size of -0.6 (95% CI: -0.9, -0.4), equivalent to a 16 point improvement on a 100 point pain scale. Four RCTs using physical medicine modalities were combined using the inverse chi-square method: two using electromagnetic therapy produced a significant reduction in pain (p < 0.01); and two using laser therapy did not differ significantly from a placebo (p = 0.63). Little or no scientific evidence exists for other therapies, including such commonly used treatments as medication, rest and exercise. CONCLUSIONS: Within the limits of methodologic quality, the best available evidence supports the use of manual therapies in combination with other treatments for short-term relief of neck pain. There is some support for the use of electromagnetic therapy and against the use of laser therapy. In general, other interventions have not been studied in enough detail adequately to assess efficacy or effectiveness. This overview provides the foundation for an evidence-based approach to practice. More robust design and methodology should be used in future research, in particular, the use of valid and reliable outcomes measures."
8941094,"BACKGROUND: To date, late redistribution after resting 201Tl injection has not been evaluated. In addition, the concordance between resting 201Tl imaging and dobutamine echocardiography in identifying viable myocardium has not been assessed. METHODS AND RESULTS: Forty patients with coronary artery disease underwent rest-4-hour-24-hour 201Tl tomography and dobutamine echocardiography (5 to 10 micrograms.kg-1.min-1). Late redistribution occurred in 46 (21%) of 219 persistent defects at 4 hours. Systolic function and contractile reserve were similar among persistent defects at 4 hours with and without late redistribution. Contractile reserve was more frequent in segments with normal 201Tl uptake (59%), completely reversible defects (53%), or mild to moderate defects at 4 hours (56%) compared with severe defects (14%; P < .02 versus all). Of 105 hypokinetic segments, 99 (94%) were viable by 201Tl, and 88 (84%) showed contractile reserve. In contrast, of 155 akinetic segments, 119 (77%) were viable by 201Tl, but only 34 (22%) had contractile reserve. Concordance between 201Tl and dobutamine was 82% in hypokinetic segments but 43% in akinetic segments. In 109 revascularized segments, positive accuracy for functional recovery was 72% for 201Tl and 92% for dobutamine, whereas negative accuracy was 100% and 65%, respectively. Sensitivity was 100% for 201Tl and 79% for dobutamine. CONCLUSIONS: Late redistribution occurs in one fifth of persistent defects at 4 hours, and it does not correlate to systolic function or contractile reserve. Dobutamine and 201Tl yield concordant information in the majority of hypokinetic segments, whereas concordance is low in akinetic segments. Dobutamine demonstrates higher positive accuracy and sensitivity in predicting recovery of dysfunctional myocardium, whereas 201Tl shows higher negative predictive accuracy but reduced positive accuracy."
9394824,"In this work we have microdissected lamina propria plasma cells and used polymerase chain reaction and sequencing to investigate immunoglobulin (Ig) gene rearrangements and mutations in human intestine. In addition, specific primers were designed for individual Ig gene rearrangements to analyze the distribution of related B cell and plasma cell clones at different sites along the bowel. Confirming our earlier work, intestinal IgVH genes were highly mutated in plasma cells from older individuals (> 30 years). IgVH genes were significantly less mutated in samples taken from patients aged 11-30 years, and there were fewer mutations again in samples from young children (< 11 years). In age-matched specimens the number of mutations was equivalent in the duodenum and colon. Using complementarity-determining region 3 primers to amplify specific Ig gene rearrangements, evidence was also found for the existence of related lamina propria plasma cells along the small bowel and colon, although these were quite scarce. In addition, analysis of the numbers of related clones in a random sampling from discrete areas of lamina propria indicates that the local population is diverse. These results suggest that the highly mutated IgVH genes in adult intestinal plasma cells are a consequence of chronic antigen exposure with age. Duodenal plasma cells are as highly mutated as colonic plasma cells, despite the fact that the upper bowel has no indigenous microbial flora (the stimulus for intestinal plasma cells). They also show that the plasma cell population is diverse and can be widely disseminated along the bowel."
9505772,"The technique of early extubation after coronary artery bypass grafting is increasing in popularity, but its safety and effect on myocardial ischaemia remain to be established. In a randomized, prospective study, patients undergoing routine elective coronary artery bypass grafting were managed with either early or late tracheal extubation. The incidence and severity of electrocardiographic myocardial ischaemia were compared. Data were analysed from 85 patients (43 early extubation; 42 late extubation). Median time to extubation was 110 min in the early extubation patients and 757 min in the late extubation patients. After correction for randomization bias, there were no significant differences between groups in ischaemic burden, maximal ST-segment deviation, incidence of ischaemia and area under the ST deviation-time curve (integral of ST deviation and time). Similarly, there were no differences between groups in postoperative creatine kinase MB-isoenzyme concentrations and duration of stay in the ICU or hospital. Therefore, this study provides evidence for the safety of early extubation after routine coronary artery bypass grafting."
9575322,"Lumbar spine stenosis most commonly affects the middle-aged and elderly population. Entrapment of the cauda equina roots by hypertrophy of the osseous and soft tissue structures surrounding the lumbar spinal canal is often associated with incapacitating pain in the back and lower extremities, difficulty ambulating, leg paresthesias and weakness and, in severe cases, bowel or bladder disturbances. The characteristic syndrome associated with lumbar stenosis is termed neurogenic intermittent claudication. This condition must be differentiated from true claudication, which is caused by atherosclerosis of the pelvofemoral vessels. Although many conditions may be associated with lumbar canal stenosis, most cases are idiopathic. Imaging of the lumbar spine performed with computed tomography or magnetic resonance imaging often demonstrates narrowing of the lumbar canal with compression of the cauda equina nerve roots by thickened posterior vertebral elements, facet joints, marginal osteophytes or soft tissue structures such as the ligamentum flavum or herniated discs. Treatment for symptomatic lumbar stenosis is usually surgical decompression. Medical treatment alternatives, such as bed rest, pain management and physical therapy, should be reserved for use in debilitated patients or patients whose surgical risk is prohibitive as a result of concomitant medical conditions."
9627170,"OBJECTIVE: Today, sepsis syndrome is the leading cause of death in adult, non-coronary intensive care units (ICUs) and is of great clinical importance. The purpose of this review was to evaluate recent prospective studies concerning the short- and long-term prognosis of patients suffering from systemic inflammatory-response syndrome (SIRS), sepsis, severe sepsis and septic shock. It has been shown in multicentre prospective surveys that 1% and 0.3% of all patients admitted to hospitals suffer, respectively, from bacteraemia alone and bacteraemia with severe sepsis. This rate increases, of course, when only admissions to the ICUs are considered: the above-mentioned rates increase then by a factor of 8 and 30, respectively. Thus, approximately 10% of patients in the ICU suffer from sepsis, 6% from severe sepsis and 2-3% from septic shock. SIRS occurs more frequently and its occurrence ranges from 40% to 70% of all patients admitted to ICUs. Thereby, 40-70% suffering from SIRS progress to a more severe septic-disease state. The overall prognosis is still poor, despite the recent advances in ICU treatment. The mortality rate of SIRS ranges from 6% to 7% and in septic shock amounts to over 50%. In particular, abdominal sepsis exhibits the highest mortality rate with 72%. The long-term prognosis is equally poor; only approximately 30% survived the first year after hospital admission. CONCLUSION: The prognosis of sepsis and septic shock remains poor, despite the advances in ICU treatment. Although prognostic factors have been identified for some patients, groups have not yet been able to identify the immediate or long-term prognosis for the majority of these septic patients."
9626910,"As a collaborative research project of the Committees for the Study of Idiopathic Cardiomyopathy, a questionnaire was sent out to 19 medical institutions in Japan in order to examine the possible association between hepatitis C virus (HCV) infection and cardiomyopathies. Hepatitis C virus antibody was found in 74 of 697 patients (10.6%) with hypertrophic cardiomyopathy (mean age, 57.7 years) and in 42 of 663 patients (6.3%) with dilated cardiomyopathy (mean age, 56.5 years); these prevalences were significantly higher than that found in volunteer blood donors in Japan (2.4%, 50-59 years of age, each p<0.0001). The prevalence was significantly higher in patients suffering from hypertrophic cardiomyopathy as opposed to those with dilated cardiomyopathy (p<0.01). The presence of HCV antibody was detected in 650 of 11,967 patients (5.4%) patients seeking care in 5 academic hospitals. Various cardiac abnormalities were found among these patients, arrhythmias being the most frequent. These observations suggest that HCV infection is an important cause of a variety of otherwise unexplained heart diseases."
9861576,"Selective serotonin reuptake inhibitors (SSRIs) are the 'new' drugs of first choice for the treatment of depression in the older patient. Systematic studies on the effects of SSRIs on cardiac function are scarce, despite the high prevalence of cardiac disorders in the older depressed patient. This is a study which systematically assessed cardiac function by echocardiography in middle-aged and elderly depressed patients treated with SSRI. In a double-blind randomized trial, 20 patients were assigned to receive fluvoxamine 100 mg/day [DOSAGE ERROR CORRECTED] or fluoxetine 20 mg/day [DOSAGE ERROR CORRECTED] for 6 weeks. Cardiac function was assessed by left ventricle ejection fraction, aortic flow integral and early or passive/late or active mitral inflow, and electrocardiography. Neither SSRI significantly affected cardiac function. Compared with patients without a history of myocardial infarction and/or hypertension, patients with such a history showed a significant improvement in left ventricular ejection fraction. Despite our small study sample, these data indicate that both fluoxetine and fluvoxamine do not affect cardiac function adversely."
9885794,"Systemic injections of cholecystokinin (CCK), a \"gut-brain\" peptide, have been shown to modulate brain dopamine function and produce neuroleptic-like effects on such dopamine-regulated behaviors as locomotor activity. However, clinical trials of CCK agonists in schizophrenia patients showed mixed results. To re-examine the antipsychotic potential of CCK-based treatments, we examined systemic injections of CCK analogs in an animal model with strong face and construct validity for sensorimotor-gating deficits seen in schizophrenia patients and with strong predictive validity for antipsychotic drug activity. Prepulse inhibition (PPI) occurs when a weak acoustic lead stimulus (\"prepulse\") inhibits the startle response to a sudden loud sound (\"pulse\"). PPI is significantly reduced in schizophrenia patients and rats treated with dopamine agonists. Antipsychotics reverse decreased PPI in rats to a degree highly correlated with their clinical efficacy. Subcutaneous (s.c.) injections of caerulein (10 micrograms/kg) a mixed CCKA/B agonist, partially reversed amphetamine-induced reduction of PPI; whereas, s.c. haloperidol (0.5 mg/kg) totally reversed amphetamine-induced disruption of PPI. Caerulein's effect on PPI was blocked by pretreatment with a CCKA antagonist (devazepide) but not a CCKB antagonist (L-365,260). CCK-4, a preferential CCKB agonist, had no significant effect on PPI. These results suggest that caerulein produces a weak neuroleptic-like effect on PPI that is mediated by stimulation of CCKA receptors. Possible circuities in this effect are discussed. In a separate experiment, s.c. caerulein produced to a more potent neuroleptic-like profile on amphetamine-induced hyperlocomotion, suggesting that selection of preclinical paradigms may be important in evaluating the antipsychotic potential of CCK-based treatments."
10101342,"This article reviews relevant literature to provide evidence based guidelines for the evaluation of patients with extremity trauma in the emergency department. The development of clinical decision rules for extremity trauma in the ankle and knee, and guidelines for obtaining postreduction radiographs of shoulder dislocations and nursemaid's elbows are discussed."
10168751,"This paper presents the results of the first comprehensive international survey to catalogue health technology assessment (HTA) activities. By 1995, there were formal HTA programs in 24 countries established mostly in the late 1980s and early 1990s. European countries generally have one or two federal or provincial HTA programs each, Canada has an extensive network of federal and regional organizations coordinated by a central body and the US has 53 HTA organizations, the vast majority of which are in the private sector. While the commitment of the US government to HTA has been erratic, the private sector has been witness to an expansion of HTA activities by insurance companies, hospitals, medical/device manufacturers, consulting firms and health professional societies. In contrast to other developed countries, the current state of technology assessment in the US is decentralized, fragmented and duplicative. We conclude by discussing the importance of a US HTA agency at the national level."
10097079,"The genome sequence of the extremely thermophilic archaeon Methanococcus jannaschii provides a wealth of data on proteins from a thermophile. In this paper, sequences of 115 proteins from M. jannaschii are compared with their homologs from mesophilic Methanococcus species. Although the growth temperatures of the mesophiles are about 50 degrees C below that of M. jannaschii, their genomic G+C contents are nearly identical. The properties most correlated with the proteins of the thermophile include higher residue volume, higher residue hydrophobicity, more charged amino acids (especially Glu, Arg, and Lys), and fewer uncharged polar residues (Ser, Thr, Asn, and Gln). These are recurring themes, with all trends applying to 83-92% of the proteins for which complete sequences were available. Nearly all of the amino acid replacements most significantly correlated with the temperature change are the same relatively conservative changes observed in all proteins, but in the case of the mesophile/thermophile comparison there is a directional bias. We identify 26 specific pairs of amino acids with a statistically significant (P < 0.01) preferred direction of replacement."
